product_id,name,category,price,width_cm,depth_cm,style,water_usage,water_unit,price_source,dimension_source,water_source
K001,Patio™ wall hung toilet with Quiet-Close™ seat cover in white,Toilet,10500.0,36.1,53.5,Traditional,,,KOHLER India product page/catalogue,KOHLER technical/catalogue,Missing — to be imputed by pipeline
K002,Span Round wall hung toilet with Quiet-Close™ seat cover in white,Toilet,11500.0,36.5,54.0,Minimalist,,,KOHLER India product page/catalogue,KOHLER technical/catalogue,Missing — to be imputed by pipeline
K003,Span Square wall hung toilet with Quiet-Close™ seat in white,Toilet,12900.0,37.2,54.4,Minimalist,,,KOHLER India product page/catalogue,KOHLER technical/catalogue,Missing — to be imputed by pipeline
K004,Reach Eco wall hung toilet with Quiet-Close™ seat cover in white,Toilet,17000.0,54.4,37.2,Modern,,,KOHLER India product page/catalogue,KOHLER technical/catalogue,Missing — to be imputed by pipeline
K005,Trace™ wall hung toilet with Quiet-Close™ slim seat cover in white,Toilet,18690.0,37.2,54.4,Minimalist,,,KOHLER India product page/catalogue,KOHLER technical/catalogue,Missing — to be imputed by pipeline
K006,Span square wall hung toilet with PureClean™ bidet cleansing seat in white,Toilet,23000.0,36.2,54.4,Minimalist,,,KOHLER India product page/catalogue,KOHLER technical/catalogue,Missing — to be imputed by pipeline
K007,Vive™ rimless wall hung toilet with Quiet-Close™ slim seat cover in white,Toilet,25000.0,34.6,55.7,Minimalist,4.0,L/flush,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K008,Brazn™ wall hung toilet with Quiet-Close™ seat cover in white,Toilet,28000.0,37.6,55.0,Modern,,,KOHLER India product page/catalogue,KOHLER technical/catalogue,Missing — to be imputed by pipeline
K009,Veil™ wall hung toilet with Quiet-Close™ seat cover in white,Toilet,32500.0,38.4,55.4,Luxury,,,KOHLER India product page/catalogue,KOHLER technical/catalogue,Missing — to be imputed by pipeline
K010,ModernLife Edge™ wall hung toilet with Quiet-Close™ UF seat cover in white,Toilet,50500.0,54.0,36.0,Minimalist,,,KOHLER India product page/catalogue,KOHLER technical/catalogue,Missing — to be imputed by pipeline
K011,Veil™ wall hung toilet with C3-230 electronic cleansing seat cover & remote,Toilet,145000.0,38.4,55.4,Luxury,,,KOHLER India product page/catalogue,KOHLER technical/catalogue,Missing — to be imputed by pipeline
K012,Veil™ wall hung intelligent toilet with remote and Quiet-Close™ seat cover,Toilet,740000.0,43.8,67.5,Luxury,,,KOHLER India product page/catalogue,KOHLER technical/catalogue,Missing — to be imputed by pipeline
K013,Beam single control lav faucet without drain in polished chrome,Faucet,5450.0,,,Modern,,,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,Missing — to be imputed by pipeline
K014,July™ single-control basin faucet in polished chrome,Faucet,5700.0,4.8,14.8,Modern,,,KOHLER India product page/catalogue,KOHLER technical/catalogue,Missing — to be imputed by pipeline
K015,Fore Arc single-control basin faucet without drain in polished chrome,Faucet,5900.0,4.5,9.8,Modern,17.0,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K016,Fore Tri™ single control lav faucet without drain in polished chrome,Faucet,6400.0,4.6,10.6,Modern,16.0,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
