product_id,name,category,price,width_cm,depth_cm,style,water_usage,water_unit,luxury_score,price_source,dimension_source,water_source,price_is_imputed,dimension_is_imputed,water_is_imputed
K001,Patio™ wall hung toilet with Quiet-Close™ seat cover in white,Toilet,10500.0,36.1,53.5,Traditional,4.0,L/flush,1.44,KOHLER India product page/catalogue,KOHLER technical/catalogue,KNN / category-median imputation,False,False,True
K002,Span Round wall hung toilet with Quiet-Close™ seat cover in white,Toilet,11500.0,36.5,54.0,Minimalist,4.0,L/flush,1.48,KOHLER India product page/catalogue,KOHLER technical/catalogue,KNN / category-median imputation,False,False,True
K003,Span Square wall hung toilet with Quiet-Close™ seat in white,Toilet,12900.0,37.2,54.4,Minimalist,4.0,L/flush,1.51,KOHLER India product page/catalogue,KOHLER technical/catalogue,KNN / category-median imputation,False,False,True
K004,Reach Eco wall hung toilet with Quiet-Close™ seat cover in white,Toilet,17000.0,54.4,37.2,Modern,4.0,L/flush,1.59,KOHLER India product page/catalogue,KOHLER technical/catalogue,KNN / category-median imputation,False,False,True
K005,Trace™ wall hung toilet with Quiet-Close™ slim seat cover in white,Toilet,18690.0,37.2,54.4,Minimalist,4.0,L/flush,1.67,KOHLER India product page/catalogue,KOHLER technical/catalogue,KNN / category-median imputation,False,False,True
K006,Span square wall hung toilet with PureClean™ bidet cleansing seat in white,Toilet,23000.0,36.2,54.4,Minimalist,4.0,L/flush,1.96,KOHLER India product page/catalogue,KOHLER technical/catalogue,KNN / category-median imputation,False,False,True
K007,Vive™ rimless wall hung toilet with Quiet-Close™ slim seat cover in white,Toilet,25000.0,34.6,55.7,Modern,4.0,L/flush,2.06,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K008,Brazn™ wall hung toilet with Quiet-Close™ seat cover in white,Toilet,28000.0,37.6,55.0,Minimalist,4.0,L/flush,2.59,KOHLER India product page/catalogue,KOHLER technical/catalogue,KNN / category-median imputation,False,False,True
K009,Veil™ wall hung toilet with Quiet-Close™ seat cover in white,Toilet,32500.0,38.4,55.4,Minimalist,4.0,L/flush,2.76,KOHLER India product page/catalogue,KOHLER technical/catalogue,KNN / category-median imputation,False,False,True
K010,ModernLife Edge™ wall hung toilet with Quiet-Close™ UF seat cover in white,Toilet,50500.0,54.0,36.0,Modern,4.0,L/flush,3.82,KOHLER India product page/catalogue,KOHLER technical/catalogue,KNN / category-median imputation,False,False,True
K011,Veil™ wall hung toilet with C3-230 electronic cleansing seat cover & remote,Toilet,145000.0,38.4,55.4,Luxury,4.0,L/flush,4.5,KOHLER India product page/catalogue,KOHLER technical/catalogue,KNN / category-median imputation,False,False,True
K012,Veil™ wall hung intelligent toilet with remote and Quiet-Close™ seat cover,Toilet,740000.0,43.8,67.5,Luxury,4.0,L/flush,6.43,KOHLER India product page/catalogue,KOHLER technical/catalogue,KNN / category-median imputation,False,False,True
K013,Beam single control lav faucet without drain in polished chrome,Faucet,5450.0,14.05,14.8,Modern,11.752694801276142,L/min,6.68,KOHLER India product page/catalogue,KNN / category-median imputation,KNN / category-median imputation,False,True,True
K014,July™ single-control basin faucet in polished chrome,Faucet,5700.0,4.8,14.8,Modern,10.528974004696583,L/min,1.98,KOHLER India product page/catalogue,KOHLER technical/catalogue,KNN / category-median imputation,False,False,True
K015,Fore Arc single-control basin faucet without drain in polished chrome,Faucet,5900.0,4.5,9.8,Modern,17.0,L/min,1.98,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K016,Fore Tri™ single control lav faucet without drain in polished chrome,Faucet,6400.0,4.6,10.6,Modern,16.0,L/min,1.26,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K017,Fore Line™ single-control basin faucet without drain in polished chrome,Faucet,6900.0,13.9,7.5,Minimalist,13.266039224237767,L/min,10.0,KOHLER India product page/catalogue,KOHLER technical/catalogue,KNN / category-median imputation,False,False,True
K018,Vive™ single-control tall basin faucet without drain in polished chrome,Faucet,8630.0,5.0,15.4,Modern,7.0,L/min,3.18,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K019,Hone single-control basin faucet without drain in polished chrome,Faucet,9250.0,4.7,26.8,Minimalist,15.0,L/min,2.64,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K020,Aleo™ single-control basin faucet without drain in polished chrome,Faucet,12500.0,14.2,10.1,Minimalist,14.0,L/min,4.16,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K021,ModernLife Edge™ single-control tall basin faucet without drain in french gold,Faucet,13530.0,20.0,16.0,Modern,7.6,L/min,3.63,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K022,Aleo+™ single-control wall mount basin faucet trim in polished chrome,Faucet,20000.0,26.1,4.7,Minimalist,8.7,L/min,4.86,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K023,ModernLife Edge™ wall mount single-control basin faucet trim in polished chrome,Faucet,24200.0,16.9,22.3,Modern,7.6,L/min,1.0,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K024,Parallel™ single-control tall basin faucet without drain in polished chrome,Faucet,36000.0,23.8,27.3,Modern,8.3,L/min,1.4,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K025,ModernLife Edge™ single-control tall basin faucet in premium finish,Faucet,36000.0,20.0,16.0,Modern,7.6,L/min,1.12,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K026,Daisyfield® showerhead in polished chrome,Shower,1900.0,17.9,9.7,Modern,12.60002539796988,L/min,7.01,KOHLER India product page/catalogue,KOHLER technical/catalogue,KNN / category-median imputation,False,False,True
K027,Rain Duet™ square 203mm Katalyst™ rainhead in polished chrome,Shower,2500.0,20.3,20.3,Minimalist,9.438673748691214,L/min,1.03,KOHLER India product page/catalogue,KOHLER technical/catalogue,KNN / category-median imputation,False,False,True
K028,Awaken™ organic multi-mode showerhead with shower arm in polished chrome,Shower,2900.0,12.2,7.6,Organic,17.0,L/min,1.07,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K029,Statement™ multi function 2.5gpm/9.6Lpm showerhead in polished chrome,Shower,3800.0,16.7,11.0,Luxury,9.6,L/min,1.09,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K030,Complementary™ single function showerhead in polished chrome with shower arm and flange,Shower,6000.0,9.5,20.2,Modern,23.0,L/min,1.4,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K031,Rain Duet™ single function organic showerhead with shower arm in polished chrome,Shower,7000.0,20.3,20.3,Organic,9.4,L/min,1.28,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K032,Rain Duet™ multifunction showerhead without shower arm in polished chrome,Shower,9900.0,20.3,20.3,Minimalist,9.4,L/min,1.34,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K033,Rain Duet™ round 203mm Katalyst™ rainhead in polished chrome,Shower,8900.0,20.3,20.3,Minimalist,9.4,L/min,1.52,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K034,ModernLife Single™ single function 330mm x 230mm rainhead in polished chrome,Shower,32500.0,33.0,23.0,Modern,10.0,L/min,1.46,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K035,Statement™ 353mm single function oblong rainhead in polished chrome,Shower,34750.0,35.4,9.5,Luxury,9.5,L/min,2.89,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K036,Statement™ 353mm deep massage rainhead in polished chrome,Shower,40700.0,33.0,23.0,Luxury,9.5,L/min,3.27,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K037,ModernLife Edge™ Dual flow hexagonal 425mm x 330mm rainpanel in french gold,Shower,150000.0,42.5,33.0,Modern,10.5,L/min,3.63,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K038,"Statement™ Oblong two-function rainhead, 35.3 cm",Shower,80300.0,35.3,35.3,Luxury,9.5,L/min,10.0,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K039,Forefront™ vanity 600mm in walnut finish,Vanity,,59.9,46.0,Minimalist,,,6.03,Missing — no trusted KOHLER price in primitive dataset,KOHLER technical/catalogue,Not applicable — vanity does not consume water directly,False,False,False
K040,Forefront™ vanity 900mm in walnut finish,Vanity,,89.2,51.7,Minimalist,,,1.15,Missing — no trusted KOHLER price in primitive dataset,KOHLER technical/catalogue,Not applicable — vanity does not consume water directly,False,False,False
K041,"KOHLER VIVE® Wall-hung round-front toilet with skirted trapway, dual-flush",Toilet,19000.0,37.400000000000006,54.4,Modern,4.0,L/flush,1.14,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K042,"KOHLER VIVE® One-piece round-front back-to-wall toilet with skirted trapway, dual-flush",Toilet,15000.0,37.400000000000006,54.4,Modern,4.0,L/flush,1.09,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K044,KOHLER VIVE® Wall-hung square-front toilet with skirted trapway,Toilet,29000.0,37.400000000000006,54.4,Modern,4.0,L/flush,1.68,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K045,KOHLER VIVE® Hidden cord one-piece back-to-wall fully skirted toilet with PureWash® M350 bidet seat,Toilet,31000.0,37.400000000000006,54.4,Modern,4.0,L/flush,1.31,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K046,ModernLife Edge™ Wall-hung round-front toilet bowl with skirted trapway,Toilet,47000.0,37.400000000000006,54.4,Modern,4.0,L/flush,1.04,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K047,"Engage™ Single-handle bathroom sink faucet, 5.6 lpm",Faucet,8800.0,14.05,14.598948506417232,Modern,5.6,L/min,1.11,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
